Year,Category,Winner,Key,Subkey
89,"MUSIC (Original Song)",False,"La La Land","“Audition (The Fools Who Dream)” –,– Music by Justin Hurwitz; Lyric by Benj Pasek, Justin Paul"
89,"MUSIC (Original Song)",False,"Trolls","“Can’t Stop the Feeling” –,– Music and Lyric by Justin Timberlake, Max Martin, Karl Johan Schuster"
89,"MUSIC (Original Song)",True,"La La Land","“City of Stars” –,– Music by Justin Hurwitz; Lyric by Benj Pasek, Justin Paul"
89,"MUSIC (Original Song)",False,"Jim: The James Foley Story","“The Empty Chair” –,– Music and Lyric by J. Ralph, Sting"
89,"MUSIC (Original Song)",False,"Moana","“How Far I’ll Go” –,– Music and Lyric by Lin-Manuel Miranda"
89,"MUSIC (Original Score)",False,"Jackie","– Mica Levi"
89,"MUSIC (Original Score)",True,"La La Land","– Justin Hurwitz"
89,"MUSIC (Original Score)",False,"Lion","– Dustin O’Halloran, Hauschka"
89,"MUSIC (Original Score)",False,"Moonlight","– Nicholas Britell"
89,"MUSIC (Original Score)",False,"Passengers","– Thomas Newman"
89,"FILM EDITING",False,"Arrival","– Joe Walker"
89,"FILM EDITING",True,"Hacksaw Ridge","– John Gilbert"
89,"FILM EDITING",False,"Hell or High Water","– Jake Roberts"
89,"FILM EDITING",False,"La La Land","– Tom Cross"
89,"FILM EDITING",False,"Moonlight","– Nat Sanders, Joi McMillon"
89,"CINEMATOGRAPHY",False,"Arrival","– Bradford Young"
89,"CINEMATOGRAPHY",True,"La La Land","– Linus Sandgren"
89,"CINEMATOGRAPHY",False,"Lion","– Greig Fraser"
89,"CINEMATOGRAPHY",False,"Moonlight","– James Laxton"
89,"CINEMATOGRAPHY",False,"Silence","– Rodrigo Prieto"
89,"PRODUCTION DESIGN",False,"Arrival","– Production Design: Patrice Vermette; Set Decoration: Paul Hotte"
89,"PRODUCTION DESIGN",False,"Fantastic Beasts and Where to Find Them","– Production Design: Stuart Craig; Set Decoration: Anna Pinnock"
89,"PRODUCTION DESIGN",False,"Hail, Caesar!","– Production Design: Jess Gonchor; Set Decoration: Nancy Haigh"
89,"PRODUCTION DESIGN",True,"La La Land","– Production Design: David Wasco; Set Decoration: Sandy Reynolds-Wasco"
89,"PRODUCTION DESIGN",False,"Passengers","– Production Design: Guy Hendrix Dyas; Set Decoration: Gene Serdena"
89,"COSTUME DESIGN",False,"Allied","– Joanna Johnston"
89,"COSTUME DESIGN",True,"Fantastic Beasts and Where to Find Them","– Colleen Atwood"
89,"COSTUME DESIGN",False,"Florence Foster Jenkins","– Consolata Boyle"
89,"COSTUME DESIGN",False,"Jackie","– Madeline Fontaine"
89,"COSTUME DESIGN",False,"La La Land","– Mary Zophres"
89,"MAKEUP AND HAIRSTYLING",False,"A Man Called Ove","– Eva von Bahr, Love Larson"
89,"MAKEUP AND HAIRSTYLING",False,"Star Trek: Beyond","– Joel Harlow, Richard Alonzo"
89,"MAKEUP AND HAIRSTYLING",True,"Suicide Squad","– Alessandro Bertolazzi, Giorgio Gregorini, Christopher Nelson"
89,"SOUND MIXING",False,"Arrival","– Bernard Gariépy Strobl, Claude La Haye"
89,"SOUND MIXING",True,"Hacksaw Ridge","– Kevin O’Connell, Andy Wright, Robert Mackenzie, Peter Grace"
89,"SOUND MIXING",False,"La La Land","– Andy Nelson, Ai-Ling Lee, Steve A. Morrow"
89,"SOUND MIXING",False,"Rogue One","– David Parker, Christopher Scarabosio, Stuart Wilson"
89,"SOUND MIXING",False,"13 Hours: The Secret Soldiers of Benghazi","– Gary Summers, Jeffrey J. Haboush, Mac Ruth"
89,"SOUND EDITING",True,"Arrival","– Sylvain Bellemare"
89,"SOUND EDITING",False,"Deepwater Horizon","– Wylie Stateman, Renée Tondelli"
89,"SOUND EDITING",False,"Hacksaw Ridge","– Robert Mackenzie, Andy Wright"
89,"SOUND EDITING",False,"La La Land","– Ai-Ling Lee, Mildred Iatrou Morgan"
89,"SOUND EDITING",False,"Sully","– Alan Robert Murray, Bub Asman"
89,"VISUAL EFFECTS",False,"Deepwater Horizon","– Craig Hammack, Jason Snell, Jason Billington, Burt Dalton"
89,"VISUAL EFFECTS",False,"Doctor Strange","– Stephane Ceretti, Richard Bluff, Vincent Cirelli, Paul Corbould"
89,"VISUAL EFFECTS",True,"The Jungle Book","– Robert Legato, Adam Valdez, Andrew R. Jones, Dan Lemmon"
89,"VISUAL EFFECTS",False,"Kubo and the Two Strings","– Steve Emerson, Oliver Jones, Brian McLean, Brad Schiff"
89,"VISUAL EFFECTS",False,"Rogue One","– John Knoll, Mohen Leo, Hal Hickel, Neil Corbould"
89,"FOREIGN LANGUAGE FILM",False,"Land of Mine","– Denmark"
89,"FOREIGN LANGUAGE FILM",False,"A Man Called Ove","– Sweden"
89,"FOREIGN LANGUAGE FILM",True,"The Salesman","– Iran"
89,"FOREIGN LANGUAGE FILM",False,"Tanna","– Australia"
89,"FOREIGN LANGUAGE FILM",False,"Toni Erdmann","– Germany"
89,"DOCUMENTARY (Feature)",False,"Fire at Sea","– Gianfranco Rosi, Donatella Palermo"
89,"DOCUMENTARY (Feature)",False,"I Am Not Your Negro","– Raoul Peck, Rémi Grellety, Hébert Peck"
89,"DOCUMENTARY (Feature)",False,"Life, Animated","– Roger Ross Williams, Julie Goldman"
89,"DOCUMENTARY (Feature)",True,"O.J.: Made in America","– Ezra Edelman, Caroline Waterlow"
89,"DOCUMENTARY (Feature)",False,"13th","– Ava DuVernay, Spencer Averick, Howard Barish"
89,"DOCUMENTARY (Short Subject)",False,"Extremis","– Dan Krauss"
89,"DOCUMENTARY (Short Subject)",False,"4.1 Miles","– Daphne Matziaraki"
89,"DOCUMENTARY (Short Subject)",False,"Joe’s Violin","– Kahane Cooperman, Raphaela Neihausen"
89,"DOCUMENTARY (Short Subject)",False,"Watani: My Homeland","– Marcel Mettelsiefen, Stephen Ellis"
89,"DOCUMENTARY (Short Subject)",True,"The White Helmets","– Orlando von Einsiedel, Joanna Natasegara"
89,"SHORT FILM (Animated)",False,"Blind Vaysha","– Theodore Ushev"
89,"SHORT FILM (Animated)",False,"Borrowed Time","– Andrew Coats, Lou Hamou-Lhadj"
89,"SHORT FILM (Animated)",False,"Pear Cider and Cigarettes","– Robert Valley, Cara Speller"
89,"SHORT FILM (Animated)",False,"Pearl","– Patrick Osborne"
89,"SHORT FILM (Animated)",True,"Piper","– Alan Barillaro, Marc Sondheimer"
89,"SHORT FILM (Live Action)",False,"Ennemis Intérieurs","– Sélim Azzazi"
89,"SHORT FILM (Live Action)",False,"La Femme et le TGV","– Timo von Gunten, Giacun Caduff"
89,"SHORT FILM (Live Action)",False,"Silent Nights","– Aske Bang, Kim Magnusson"
89,"SHORT FILM (Live Action)",True,"Sing","– Kristof Deák, Anna Udvardy"
89,"SHORT FILM (Live Action)",False,"Timecode","– Juanjo Giménez"
89,"HONORARY AWARD",True,"","To <span class="Winner">Jackie Chan</span>, an international film star who has captivated millions with his wit, boundless energy and unparalleled athletic artistry."
89,"HONORARY AWARD",True,""," To <span class="Winner">Anne V. Coates</span>, in recognition of a film editing career of remarkable breadth and exceptional collaborative achievement."
89,"HONORARY AWARD",True,""," To <span class="Winner">Lynn Stalmaster</span>, a true pioneer whose keen insight and inspired creativity transformed the art of motion picture casting."
89,"HONORARY AWARD",True,""," To <span class="Winner">Frederick Wiseman</span>, whose masterful and distinctive documentaries examine the familiar and reveal the unexpected."
89,"SCIENTIFIC AND TECHNICAL AWARD (Scientific and Engineering Award)",True,"","To <span class="Winner">ARRI</span> for the pioneering design and engineering of the Super 35 format Alexa digital camera system."
