Column1,Column2,Column3,Column4,Column5,Column6,,,,
2,Best Writing,3,FALSE,,Die Frau des Steffen Thromholt,,,,
2,Best Writing,4,FALSE,,by,,,,
2,Best Writing,5,FALSE,https://en.wikipedia.org/wiki/Hermann_Sudermann,Hermann Sudermann,,,,
3,Outstanding Production,0,TRUE,https://en.wikipedia.org/wiki/The_Big_House_(1930_film),The Big House,,,,
3,Outstanding Production,1,FALSE,https://en.wikipedia.org/wiki/Irving_Thalberg,Irving Thalberg,,,,
3,Outstanding Production,2,FALSE,,for,,,,
3,Outstanding Production,3,FALSE,https://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,,,
3,Outstanding Production,0,TRUE,https://en.wikipedia.org/wiki/Disraeli_(1929_film),Disraeli,,,,
3,Outstanding Production,1,FALSE,https://en.wikipedia.org/wiki/Jack_L._Warner,Jack L. Warner,,,,
3,Outstanding Production,2,FALSE,,and,,,,
3,Outstanding Production,3,FALSE,https://en.wikipedia.org/wiki/Darryl_F._Zanuck,Darryl F. Zanuck,,,,
3,Outstanding Production,4,FALSE,,for,,,,
3,Outstanding Production,5,FALSE,https://en.wikipedia.org/wiki/Warner_Bros.,Warner Bros.,,,,
3,Outstanding Production,0,TRUE,https://en.wikipedia.org/wiki/The_Divorcee,The Divorcee,,,,
3,Outstanding Production,1,FALSE,https://en.wikipedia.org/wiki/Robert_Z._Leonard,Robert Z. Leonard,,,,
3,Outstanding Production,2,FALSE,,for,,,,
3,Outstanding Production,3,FALSE,https://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,,,
3,Outstanding Production,0,TRUE,https://en.wikipedia.org/wiki/The_Love_Parade,The Love Parade,,,,
3,Outstanding Production,1,FALSE,https://en.wikipedia.org/wiki/Ernst_Lubitsch,Ernst Lubitsch,,,,
3,Outstanding Production,2,FALSE,,for,,,,
3,Outstanding Production,3,FALSE,https://en.wikipedia.org/wiki/Paramount_Pictures,Paramount Pictures,,,,
3,Best Director,0,TRUE,https://en.wikipedia.org/wiki/Clarence_Brown,Clarence Brown,,,,
3,Best Director,1,FALSE,https://en.wikipedia.org/wiki/Anna_Christie_(1930_English-language_film),Anna Christie,,,,
3,Best Director,0,TRUE,https://en.wikipedia.org/wiki/Robert_Z._Leonard,Robert Z. Leonard,,,,
3,Best Director,1,FALSE,https://en.wikipedia.org/wiki/The_Divorcee,The Divorcee,,,,
3,Best Director,0,TRUE,https://en.wikipedia.org/wiki/King_Vidor,King Vidor,,,,
3,Best Director,1,FALSE,https://en.wikipedia.org/wiki/Hallelujah_(film),Hallelujah,,,,
3,Best Director,0,TRUE,https://en.wikipedia.org/wiki/Ernst_Lubitsch,Ernst Lubitsch,,,,
3,Best Director,1,FALSE,https://en.wikipedia.org/wiki/The_Love_Parade,The Love Parade,,,,
3,Best Director,0,TRUE,,Clarence Brown,,,,
3,Best Director,1,FALSE,https://en.wikipedia.org/wiki/Romance_(1930_film),Romance,,,,
3,Best Actor,0,TRUE,,George Arliss,,,,
3,Best Actor,1,FALSE,https://en.wikipedia.org/wiki/The_Green_Goddess_(1930_film),The Green Goddess,,,,
3,Best Actor,0,TRUE,https://en.wikipedia.org/wiki/Wallace_Beery,Wallace Beery,,,,
3,Best Actor,1,FALSE,https://en.wikipedia.org/wiki/The_Big_House_(1930_film),The Big House,,,,
3,Best Actor,0,TRUE,https://en.wikipedia.org/wiki/Maurice_Chevalier,Maurice Chevalier,,,,
3,Best Actor,1,FALSE,https://en.wikipedia.org/wiki/The_Big_Pond,The Big Pond,,,,
3,Best Actor,2,FALSE,,and,,,,
3,Best Actor,3,FALSE,https://en.wikipedia.org/wiki/The_Love_Parade,The Love Parade,,,,
3,Best Actor,0,TRUE,https://en.wikipedia.org/wiki/Ronald_Colman,Ronald Colman,,,,
3,Best Actor,1,FALSE,https://en.wikipedia.org/wiki/Bulldog_Drummond_(1929_film),Bulldog Drummond,,,,
3,Best Actor,2,FALSE,,and,,,,
3,Best Actor,3,FALSE,https://en.wikipedia.org/wiki/Condemned_(1929_film),Condemned,,,,
3,Best Actor,0,TRUE,https://en.wikipedia.org/wiki/Lawrence_Tibbett,Lawrence Tibbett,,,,
3,Best Actor,1,FALSE,https://en.wikipedia.org/wiki/The_Rogue_Song_(film),The Rogue Song,,,,
3,Best Actress,0,TRUE,https://en.wikipedia.org/wiki/Nancy_Carroll,Nancy Carroll,,,,
3,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/The_Devil%27s_Holiday,The Devil's Holiday,,,,
3,Best Actress,0,TRUE,https://en.wikipedia.org/wiki/Ruth_Chatterton,Ruth Chatterton,,,,
3,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/Sarah_and_Son,Sarah and,,,,
3,Best Actress,2,FALSE,https://en.wikipedia.org/wiki/Sarah_and_Son,Son,,,,
3,Best Actress,0,TRUE,https://en.wikipedia.org/wiki/Greta_Garbo,Greta Garbo,,,,
3,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/Anna_Christie_(1930_English-language_film),Anna Christie,,,,
3,Best Actress,2,FALSE,,and,,,,
3,Best Actress,3,FALSE,https://en.wikipedia.org/wiki/Romance_(1930_film),Romance,,,,
3,Best Actress,0,TRUE,,Norma Shearer,,,,
3,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/Their_Own_Desire,Their Own Desire,,,,
3,Best Actress,0,TRUE,https://en.wikipedia.org/wiki/Gloria_Swanson,Gloria Swanson,,,,
3,Best Actress,1,FALSE,https://en.wikipedia.org/wiki/The_Trespasser_(1929_film),The Trespasser,,,,
3,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film),All Quiet on the Western Front,,,,
3,Best Writing,1,FALSE,https://en.wikipedia.org/wiki/George_Abbott,George Abbott,,,,
3,Best Writing,2,FALSE,https://en.wikipedia.org/wiki/Maxwell_Anderson,Maxwell Anderson,,,,
3,Best Writing,3,FALSE,,and,,,,
3,Best Writing,4,FALSE,https://en.wikipedia.org/wiki/Del_Andrews,Del Andrews,,,,
3,Best Writing,5,FALSE,,based on,,,,
3,Best Writing,6,FALSE,https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front,the novel,,,,
3,Best Writing,7,FALSE,,by,,,,
3,Best Writing,8,FALSE,https://en.wikipedia.org/wiki/Erich_Maria_Remarque,Erich Maria Remarque,,,,
3,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/Disraeli_(1929_film),Disraeli,,,,
3,Best Writing,1,FALSE,https://en.wikipedia.org/wiki/Julien_Josephson,Julien Josephson,,,,
3,Best Writing,2,FALSE,,based on,,,,
3,Best Writing,3,FALSE,https://en.wikipedia.org/wiki/Disraeli_(play),the play,,,,
3,Best Writing,4,FALSE,,by,,,,
3,Best Writing,5,FALSE,https://en.wikipedia.org/wiki/Louis_N._Parker,Louis N. Parker,,,,
3,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/The_Divorcee,The Divorcee,,,,
3,Best Writing,1,FALSE,https://en.wikipedia.org/wiki/John_Meehan_(screenwriter),John Meehan,,,,
3,Best Writing,2,FALSE,,based on the novel,,,,
3,Best Writing,3,FALSE,,Ex-Wife,,,,
3,Best Writing,4,FALSE,,by,,,,
3,Best Writing,5,FALSE,https://en.wikipedia.org/wiki/Ursula_Parrott,Ursula Parrott,,,,
3,Best Writing,0,TRUE,https://en.wikipedia.org/wiki/Street_of_Chance_(1930_film),Street of Chance,,,,
3,Best Writing,1,FALSE,https://en.wikipedia.org/wiki/Howard_Estabrook,Howard Estabrook,,,,
3,Best Writing,2,FALSE,,based on a story by Oliver H. P. Garrett,,,,
3,Best Sound Recording,0,TRUE,https://en.wikipedia.org/wiki/The_Case_of_Sergeant_Grischa_(film),The Case of Sergeant Grischa,,,,
3,Best Sound Recording,1,FALSE,https://en.wikipedia.org/wiki/John_E._Tribby,John E. Tribby,,,,
3,Best Sound Recording,0,TRUE,https://en.wikipedia.org/wiki/The_Love_Parade,The Love Parade,,,,
