Year,Type,WinOrLose,Key,Item
1932,"DIRECTING",False,"A FREE SOUL","Clarence Brown"
1932,"DIRECTING",False,"THE FRONT PAGE","Lewis Milestone"
1932,"DIRECTING",False,"MOROCCO","Josef Von Sternberg"
1932,"OUTSTANDING PRODUCTION",True,"CIMARRON","RKO Radio"
1932,"OUTSTANDING PRODUCTION",False,"EAST LYNNE","Fox"
1932,"OUTSTANDING PRODUCTION",False,"THE FRONT PAGE","The Caddo Company"
1932,"OUTSTANDING PRODUCTION",False,"SKIPPY","Paramount Publix"
1932,"OUTSTANDING PRODUCTION",False,"TRADER HORN","Metro-Goldwyn-Mayer"
1932,"SOUND RECORDING",True,"","Paramount Publix Studio Sound Department"
1932,"SOUND RECORDING",False,"","Samuel Goldwyn - United Artists Studio Sound Department"
1932,"SOUND RECORDING",False,"","Metro-Goldwyn-Mayer Studio Sound Department"
1932,"SOUND RECORDING",False,"","RKO Radio Studio Sound Department"
1932,"WRITING (ADAPTATION)",True,"CIMARRON","Howard Estabrook"
1932,"WRITING (ADAPTATION)",False,"THE CRIMINAL CODE","Seton I. Miller, Fred Niblo, Jr."
1932,"WRITING (ADAPTATION)",False,"HOLIDAY","Horace Jackson"
1932,"WRITING (ADAPTATION)",False,"LITTLE CAESAR","Francis Faragoh, Robert N. Lee"
1932,"WRITING (ADAPTATION)",False,"SKIPPY","Joseph L. Mankiewicz, Sam Mintz"
1932,"WRITING (ORIGINAL STORY)",True,"THE DAWN PATROL","John Monk Saunders"
1932,"WRITING (ORIGINAL STORY)",False,"THE DOORWAY TO HELL","Rowland Brown"
1932,"WRITING (ORIGINAL STORY)",False,"LAUGHTER","Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
1932,"WRITING (ORIGINAL STORY)",False,"THE PUBLIC ENEMY","John Bright, Kubec Glasmon"
1932,"WRITING (ORIGINAL STORY)",False,"SMART MONEY","Lucien Hubbard, Joseph Jackson"
1933,"ACTOR",True,"WALLACE BEERY","The Champ"
1933,"ACTOR",True,"FREDRIC MARCH","Dr. Jekyll and Mr. Hyde"
1933,"ACTOR",False,"ALFRED LUNT","The Guardsman"
1933,"ACTRESS",True,"HELEN HAYES","The Sin of Madelon Claudet"
1933,"ACTRESS",False,"MARIE DRESSLER","Emma"
1933,"ACTRESS",False,"LYNN FONTANNE","The Guardsman"
1933,"ART DIRECTION",True,"TRANSATLANTIC","Gordon Wiles"
1933,"ART DIRECTION",False,"","Lazare Meerson"
1933,"ART DIRECTION",False,"ARROWSMITH","Richard Day"
1933,"CINEMATOGRAPHY",True,"SHANGHAI EXPRESS","Lee Garmes"
1933,"CINEMATOGRAPHY",False,"ARROWSMITH","Ray June"
1933,"CINEMATOGRAPHY",False,"DR. JEKYLL AND MR. HYDE","Karl Struss"
1933,"DIRECTING",True,"BAD GIRL","Frank Borzage"
1933,"DIRECTING",False,"THE CHAMP","King Vidor"
1933,"DIRECTING",False,"SHANGHAI EXPRESS","Josef Von Sternberg"
1933,"OUTSTANDING PRODUCTION",True,"GRAND HOTEL","Metro-Goldwyn-Mayer"
1933,"OUTSTANDING PRODUCTION",False,"ARROWSMITH","Samuel Goldwyn Productions"
1933,"OUTSTANDING PRODUCTION",False,"BAD GIRL","Fox"
1933,"OUTSTANDING PRODUCTION",False,"THE CHAMP","Metro-Goldwyn-Mayer"
1933,"OUTSTANDING PRODUCTION",False,"FIVE STAR FINAL","First National"
1933,"OUTSTANDING PRODUCTION",False,"ONE HOUR WITH YOU","Paramount Publix"
1933,"OUTSTANDING PRODUCTION",False,"SHANGHAI EXPRESS","Paramount Publix"
1933,"OUTSTANDING PRODUCTION",False,"THE SMILING LIEUTENANT","Paramount Publix"
1933,"SHORT SUBJECT (CARTOON)",True,"FLOWERS AND TREES","Walt Disney, Producer"
1933,"SHORT SUBJECT (CARTOON)",False,"IT'S GOT ME AGAIN","Leon Schlesinger, Producer"
1933,"SHORT SUBJECT (CARTOON)",False,"MICKEY'S ORPHANS","Walt Disney, Producer"
1933,"SHORT SUBJECT (COMEDY)",True,"THE MUSIC BOX","Hal Roach, Producer"
1933,"SHORT SUBJECT (COMEDY)",False,"THE LOUD MOUTH","Mack Sennett, Producer"
1933,"SHORT SUBJECT (COMEDY)",False,"SCRATCH-AS-CATCH-CAN","RKO Radio"
1933,"SHORT SUBJECT (NOVELTY)",True,"WRESTLING SWORDFISH","Mack Sennett, Producer"
1933,"SHORT SUBJECT (NOVELTY)",False,"SCREEN SOUVENIRS","Paramount Publix"
1933,"SHORT SUBJECT (NOVELTY)",False,"SWING HIGH","Metro-Goldwyn-Mayer"
1933,"SOUND RECORDING",True,"","Paramount Publix Studio Sound Department"
1933,"SOUND RECORDING",False,"","Metro-Goldwyn-Mayer Studio Sound Department"
1933,"SOUND RECORDING",False,"","RKO Radio Studio Sound Department"
1933,"SOUND RECORDING",False,"","Warner Bros.-First National Studio Sound Department"
1933,"WRITING (ADAPTATION)",True,"BAD GIRL","Edwin Burke"
1933,"WRITING (ADAPTATION)",False,"ARROWSMITH","Sidney Howard"
1933,"WRITING (ADAPTATION)",False,"DR. JEKYLL AND MR. HYDE","Percy Heath, Samuel Hoffenstein"
1933,"WRITING (ORIGINAL STORY)",True,"THE CHAMP","Frances Marion"
1933,"WRITING (ORIGINAL STORY)",False,"LADY AND GENT","Grover Jones, William Slavens McNutt"
1933,"WRITING (ORIGINAL STORY)",False,"THE STAR WITNESS","Lucien Hubbard"
1933,"WRITING (ORIGINAL STORY)",False,"WHAT PRICE HOLLYWOOD?","Adela Rogers St. Johns, Jane Murfin"
1934,"ACTOR",True,"CHARLES LAUGHTON","The Private Life of Henry VIII"
1934,"ACTOR",False,"LESLIE HOWARD","Berkeley Square"
1934,"ACTOR",False,"PAUL MUNI","I Am a Fugitive from a Chain Gang"
1934,"ACTRESS",True,"KATHARINE HEPBURN","Morning Glory"
1934,"ACTRESS",False,"MAY ROBSON","Lady for a Day"
1934,"ACTRESS",False,"DIANA WYNYARD","Cavalcade"
1934,"ART DIRECTION",True,"CAVALCADE","William S. Darling"
1934,"ART DIRECTION",False,"A FAREWELL TO ARMS","Hans Dreier, Roland Anderson"
1934,"ART DIRECTION",False,"WHEN LADIES MEET","Cedric Gibbons"
1934,"ASSISTANT DIRECTOR",True,"","William Tummel (Fox)"
1934,"ASSISTANT DIRECTOR",True,"","Charles Dorian (Metro-Goldwyn-Mayer)"
1934,"ASSISTANT DIRECTOR",True,"","Charles Barton (Paramount)"
1934,"ASSISTANT DIRECTOR",True,"","Dewey Starkey (RKO Radio)"
1934,"ASSISTANT DIRECTOR",True,"","Fred Fox (United Artists)"
1934,"ASSISTANT DIRECTOR",True,"","Scott Beal (Universal)"
1934,"ASSISTANT DIRECTOR",True,"","Gordon Hollingshead (Warner Bros.)"
1934,"ASSISTANT DIRECTOR",False,"","Percy Ikerd (Fox)"
1934,"ASSISTANT DIRECTOR",False,"","Bunny Dull (Metro-Goldwyn-Mayer)"
1934,"ASSISTANT DIRECTOR",False,"","John S. Waters (Metro-Goldwyn-Mayer)"
1934,"ASSISTANT DIRECTOR",False,"","Sidney S. Brod (Paramount)"
1934,"ASSISTANT DIRECTOR",False,"","Arthur Jacobson (Paramount)"
1934,"ASSISTANT DIRECTOR",False,"","Eddie Killey (RKO Radio)"
1934,"ASSISTANT DIRECTOR",False,"","Benjamin Silvey (United Artists)"
1934,"ASSISTANT DIRECTOR",False,"","Joe McDonough (Universal)"
1934,"ASSISTANT DIRECTOR",False,"","W. J. Reiter (Universal)"
1934,"ASSISTANT DIRECTOR",False,"","Al Alborn (Warner Bros.)"
1934,"ASSISTANT DIRECTOR",False,"","Frank X. Shaw (Warner Bros.)"
1934,"CINEMATOGRAPHY",True,"A FAREWELL TO ARMS","Charles Bryant Lang, Jr."
1934,"CINEMATOGRAPHY",False,"REUNION IN VIENNA","George J. Folsey"
1934,"CINEMATOGRAPHY",False,"THE SIGN OF THE CROSS","Karl Struss"
1934,"DIRECTING",True,"CAVALCADE","Frank Lloyd"
1934,"DIRECTING",False,"LADY FOR A DAY","Frank Capra"
1934,"DIRECTING",False,"LITTLE WOMEN","George Cukor"
1934,"OUTSTANDING PRODUCTION",True,"CAVALCADE","Fox"
1934,"OUTSTANDING PRODUCTION",False,"A FAREWELL TO ARMS","Paramount"
1934,"OUTSTANDING PRODUCTION",False,"42ND STREET","Warner Bros."
1934,"OUTSTANDING PRODUCTION",False,"I AM A FUGITIVE FROM A CHAIN GANG","Warner Bros."
1934,"OUTSTANDING PRODUCTION",False,"LADY FOR A DAY","Columbia"
1934,"OUTSTANDING PRODUCTION",False,"LITTLE WOMEN","RKO Radio"
