Year,Type,Content,Title,Description,Youtube,Url
1942,"Gary Cooper, Joan Fontaine, Mary Astor and Donald Crisp","Gary Cooper, Joan Fontaine, Mary Astor and Donald Crisp","Best Actor winner for Sergeant York, Best Actress winner for Suspicion, Supporting Actress winner for The Great Lie, and Supporting Actor winner for How Green Was My Valley","","https://www.oscars.org/sites/oscars/files/1942_iconic_actorwinners.jpg"
1942,"Bob Hope","Bob Hope","Host of the Academy Awards","","https://www.oscars.org/sites/oscars/files/1942_view_host-hope.jpg"
1942,"Cary Grant and Rosalind Russell","Cary Grant and Rosalind Russell","At the Academy Awards ceremony","","https://www.oscars.org/sites/oscars/files/14_highlight_cary_grant_rosalind_russell.jpg"
1942,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1942_iconic_actorwinners_2.jpg?itok=Kcx7HzUG
1943,"SOUND RECORDING","Yankee Doodle Dandy","Nathan Levinson","","https://www.oscars.org/sites/oscars/files/1943_03_SoundRec-Levinson.jpg"
1943,"CINEMATOGRAPHY","Mrs. Miniver","Joseph Ruttenberg","","https://www.oscars.org/sites/oscars/files/1943_view_cinematogrophy-ruttenberg.jpg"
1943,"MUSIC","Now, Voyager / White Christmas","Max Steiner (Original Score) and Irving Berlin (Original Song)","","https://www.oscars.org/sites/oscars/files/1943_view_music-steiner-berlin.jpg"
1943,"Attendees at the 15th Academy Awards","Attendees at the 15th Academy Awards","","","https://www.oscars.org/sites/oscars/files/1943_iconic.jpg"
1943,"Greer Garson and James Cagney","Greer Garson and James Cagney","Best Actress winner for Mrs. Miniver and Best Actor winner for Yankee Doodle Dandy","","https://www.oscars.org/sites/oscars/files/15_small_mem-1_actress_actor_garsoncagney.jpg"
1943,"Teresa Wright","Teresa Wright","Supporting Actress winner for Mrs. Minver","","https://www.oscars.org/sites/oscars/files/1943_view_SupActress-Wright.jpg"
1943,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1943_iconic_2.jpg?itok=V0zTLCX-
1944,"BEST DIRECTING","Casablanca","Michael Curtiz","","https://www.oscars.org/sites/oscars/files/1943_02_director_curtiz.jpg"
1944,"MUSIC SCORE","The Song of Bernadette","Alfred Newman","","https://www.oscars.org/sites/oscars/files/1943_03_music_score_newman.jpg"
1944,"BEST PICTURE","Casablanca","Jack Warner","","https://www.oscars.org/sites/oscars/files/1943_view_picture_warner_benny.jpg"
1944,"Paul Lukas","Paul Lukas","Best Actor winner for Watch on the Rhine","","https://www.oscars.org/sites/oscars/files/16th_memorable_actor_paul_lukas.jpg"
1944,"Katina Paxinou and Charles Coburn","Katina Paxinou and Charles Coburn","Supporting Actress winner for For Whom the Bell Tolls and Supporting Actor winner for The More the Merrier","","https://www.oscars.org/sites/oscars/files/1943_paxinou_coburn.jpg"
1944,"Jennifer Jones","Jennifer Jones","Best Actress winner for The Song of Bernadette","","https://www.oscars.org/sites/oscars/files/1943_actress_jones.jpg"
1944,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1943_iconic_acting_lukas_jones_paxinou_coburn_2.jpg?itok=ulZXS7e4
1945,"THALBERG AWARD","","Darryl F. Zanuck, with Thalberg&#039;s widow Norma Shearer","","https://www.oscars.org/sites/oscars/files/1944_view_thalberg-shearer_zanuck.jpg"
1945,"BEST DIRECTING","Going My Way","Leo McCarey","","https://www.oscars.org/sites/oscars/files/17th_highlight_director_leo_mccarey.jpg"
1945,"OUTSTANDING CHILD ACTRESS","","Margaret O&#039;Brien, with Bob Hope","","https://www.oscars.org/sites/oscars/files/1944_iconic_hope_obrien.jpg"
1945,"Bob Hope","Bob Hope","Receiving a Special Award from Walter Wanger","","https://www.oscars.org/sites/oscars/files/17th_hope.jpg"
1945,"Ingrid Bergman","Ingrid Bergman","Best Actress winner for Gaslight","","https://www.oscars.org/sites/oscars/files/1944_03_actress_bergman.jpg"
1945,"Bing Crosby","Bing Crosby","Best Actor winner for Going My Way, with presenter Gary Cooper","","https://www.oscars.org/sites/oscars/files/1944_view_cooper_actor_crosby.jpg"
1945,,,,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_wide_default/public/1944_iconic_hope_obrien_0.jpg?itok=i4RxMHzw
