Year,WinOrLose,Type,Key,Item
1935,Nominees,"Short Subject (Comedy)","What, No Men!","Warner Bros."
1935,Winner,"Short Subject (Novelty)","City Of Wax","Stacy Woodard and Horace Woodard, Producers"
1935,Nominees,"Short Subject (Novelty)","Bosom Friends","Skibo Productions"
1935,Nominees,"Short Subject (Novelty)","Strikes And Spares","Pete Smith, Producer"
1935,Winner,"Sound Recording","One Night Of Love","Columbia Studio Sound Department, John Livadary, Sound Director"
1935,Nominees,"Sound Recording","The Affairs Of Cellini","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1935,Nominees,"Sound Recording","Cleopatra","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director"
1935,Nominees,"Sound Recording","Flirtation Walk","Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director"
1935,Nominees,"Sound Recording","The Gay Divorcee","RKO Radio Studio Sound Department, Carl Dreher, Sound Director"
1935,Nominees,"Sound Recording","Imitation Of Life","Universal Studio Sound Department, Theodore Soderberg, Sound Director"
1935,Nominees,"Sound Recording","Viva Villa!","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1935,Nominees,"Sound Recording","The White Parade","Fox Studio Sound Department, E. H. Hansen, Sound Director"
1935,Winner,"Writing (Adaptation)","It Happened One Night","Robert Riskin"
1935,Nominees,"Writing (Adaptation)","The Thin Man","Frances Goodrich, Albert Hackett"
1935,Nominees,"Writing (Adaptation)","Viva Villa!","Ben Hecht"
1935,Winner,"Writing (Original Story)","Manhattan Melodrama","Arthur Caesar"
1935,Nominees,"Writing (Original Story)","Hide-Out","Mauri Grashin"
1935,Nominees,"Writing (Original Story)","The Richest Girl In The World","Norman Krasna"
1936,Winner,"Actor","Victor Mclaglen","The Informer"
1936,Nominees,"Actor","Clark Gable","Mutiny on the Bounty"
1936,Nominees,"Actor","Charles Laughton","Mutiny on the Bounty"
1936,Nominees,"Actor","Paul Muni","Black Fury"
1936,Nominees,"Actor","Franchot Tone","Mutiny on the Bounty"
1936,Winner,"Actress","Bette Davis","Dangerous"
1936,Nominees,"Actress","Elisabeth Bergner","Escape Me Never"
1936,Nominees,"Actress","Claudette Colbert","Private Worlds"
1936,Nominees,"Actress","Katharine Hepburn","Alice Adams"
1936,Nominees,"Actress","Miriam Hopkins","Becky Sharp"
1936,Nominees,"Actress","Merle Oberon","The Dark Angel"
1936,Winner,"Art Direction","The Dark Angel","Richard Day"
1936,Nominees,"Art Direction","The Lives Of A Bengal Lancer","Hans Dreier, Roland Anderson"
1936,Nominees,"Art Direction","Top Hat","Van Nest Polglase, Carroll Clark"
1936,Winner,"Assistant Director","The Lives Of A Bengal Lancer","Clem Beauchamp, Paul Wing"
1936,Nominees,"Assistant Director","David Copperfield","Joseph Newman"
1936,Nominees,"Assistant Director","Les Miserables","Eric Stacey"
1936,Nominees,"Assistant Director","A Midsummer Night's Dream","Sherry Shourds"
1936,Winner,"Cinematography","A Midsummer Night's Dream","Hal Mohr"
1936,Nominees,"Cinematography","Barbary Coast","Ray June"
1936,Nominees,"Cinematography","The Crusades","Victor Milner"
1936,Nominees,"Cinematography","Les Miserables","Gregg Toland"
1936,Winner,"Dance Direction","Broadway Melody Of 1936",""I've Got a Feeling You're Fooling" from "Broadway Melody of 1936""
1936,Winner,"Dance Direction","Folies Bergere",""Straw Hat" from "Folies Bergere""
1936,Nominees,"Dance Direction","Gold Diggers Of 1935",""Lullaby of Broadway" from "Gold Diggers of 1935""
1936,Nominees,"Dance Direction","Gold Diggers Of 1935",""The Words Are In My Heart" from "Gold Diggers of 1935""
1936,Nominees,"Dance Direction","Go Into Your Dance",""Latin from Manhattan" from "Go into Your Dance""
1936,Nominees,"Dance Direction","Broadway Hostess",""Playboy from Paree" from "Broadway Hostess""
1936,Nominees,"Dance Direction","King Of Burlesque",""Lovely Lady" from "King of Burlesque""
1936,Nominees,"Dance Direction","King Of Burlesque",""Too Good To Be True" from "King of Burlesque""
1936,Nominees,"Dance Direction","Top Hat",""Piccolino" from "Top Hat""
1936,Nominees,"Dance Direction","Top Hat",""Top Hat, White Tie, and Tails" from "Top Hat""
1936,Nominees,"Dance Direction","Big Broadcast Of 1936",""It's the Animal in Me" from "Big Broadcast of 1936""
1936,Nominees,"Dance Direction","All The King's Horses",""Viennese Waltz" from "All the King's Horses""
